k,inertia,n_iter,silhouette_score,davies_bouldin_index,calinski_harabasz_score,n_clusters,smallest_cluster_size,largest_cluster_size,cluster_size_mean,cluster_size_std,cluster_size_cv
2,10616438.799922487,3,0.7887125803849235,0.4229532835286937,13106.403411294701,2,1331,8510,4920.5,3589.5,0.7294990346509501
3,4959573.44261045,6,0.8212609573076222,0.40698432155311287,19636.91346874527,3,494,8037,3280.3333333333335,3379.9282372394964,1.0303612144821146
4,3415370.4246388986,9,0.8137499785268467,0.5141808257289269,20490.89158403656,4,182,7993,2460.25,3214.375162842695,1.3065237934529803
5,2489703.652359073,11,0.805153296979792,0.5694850874784431,21994.130742080884,5,131,7884,1968.2,2981.062052356509,1.5146133789028091
6,1951923.9081884194,16,0.7939994462691202,0.5775973118111829,22982.685405349504,6,71,7844,1640.1666666666667,2787.599051553545,1.6995827974109612
7,1641742.0491937054,41,0.7627764222167249,0.6089976004527254,23078.10653161565,7,60,7764,1405.857142857143,2608.934726696562,1.8557609071106527
8,1399064.3915697073,44,0.7350898166478439,0.5981661034308842,23453.727007806738,8,60,7626,1230.125,2427.486016308848,1.9733653216614961
9,1204552.771447734,21,0.7341814534938405,0.6147973594086031,24031.94825581879,9,23,7635,1093.4444444444443,2321.1530712658555,2.122790127161132
10,1058890.7293882077,51,0.7217389823806802,0.5982347075927207,24448.116449268964,10,23,7556,984.1,2198.932716114797,2.2344606402954956
